index,cluster
161_TREG_NAIVE,2
162_TREG_NAIVE,2
163_TREG_NAIVE,2
164_TREG_NAIVE,2
165_TREG_NAIVE,2
166_TREG_NAIVE,2
167_TREG_NAIVE,2
168_TREG_NAIVE,2
169_TREG_NAIVE,2
170_TREG_NAIVE,2
171_TREG_NAIVE,2
172_TREG_NAIVE,2
173_TREG_NAIVE,2
174_TREG_NAIVE,2
175_TREG_NAIVE,2
176_TREG_NAIVE,2
177_TREG_NAIVE,2
178_TREG_NAIVE,2
179_TREG_NAIVE,2
180_TREG_NAIVE,2
181_TREG_NAIVE,2
182_TREG_NAIVE,2
183_TREG_NAIVE,2
184_TREG_NAIVE,2
185_TREG_NAIVE,2
186_TREG_NAIVE,2
187_TREG_NAIVE,2
188_TREG_NAIVE,2
189_TREG_NAIVE,2
190_TREG_NAIVE,2
191_TREG_NAIVE,2
192_TREG_NAIVE,2
193_TREG_NAIVE,2
194_TREG_NAIVE,2
195_TREG_NAIVE,2
196_TREG_NAIVE,2
197_TREG_NAIVE,2
198_TREG_NAIVE,2
199_TREG_NAIVE,2
200_TREG_NAIVE,2
201_TREG_NAIVE,2
202_TREG_NAIVE,2
203_TREG_NAIVE,2
204_TREG_NAIVE,2
205_TREG_NAIVE,2
206_TREG_NAIVE,2
207_TREG_NAIVE,2
208_TREG_NAIVE,2
209_TREG_NAIVE,2
210_TREG_NAIVE,2
211_TREG_NAIVE,2
212_TREG_NAIVE,2
213_TREG_NAIVE,2
214_TREG_NAIVE,2
215_TREG_NAIVE,2
216_TREG_NAIVE,2
217_TREG_NAIVE,2
218_TREG_NAIVE,2
219_TREG_NAIVE,2
220_TREG_NAIVE,2
221_TREG_NAIVE,2
222_TREG_NAIVE,2
223_TREG_NAIVE,2
224_TREG_NAIVE,2
225_TREG_NAIVE,2
226_TREG_NAIVE,2
227_TREG_NAIVE,2
228_TREG_NAIVE,2
229_TREG_NAIVE,2
230_TREG_NAIVE,2
231_TREG_NAIVE,2
232_TREG_NAIVE,2
233_TREG_NAIVE,2
234_TREG_NAIVE,2
235_TREG_NAIVE,2
236_TREG_NAIVE,2
237_TREG_NAIVE,2
238_TREG_NAIVE,2
239_TREG_NAIVE,2
240_TREG_NAIVE,2
241_TREG_NAIVE,2
242_TREG_NAIVE,2
243_TREG_NAIVE,2
244_TREG_NAIVE,2
245_TREG_NAIVE,2
246_TREG_NAIVE,2
247_TREG_NAIVE,2
248_TREG_NAIVE,2
249_TREG_NAIVE,2
0_M2,3
1_M2,3
2_M2,3
3_M2,3
4_M2,3
5_M2,3
6_M2,3
7_M2,3
8_M2,3
9_M2,3
10_M2,3
11_M2,3
12_M2,3
13_M2,3
14_M2,3
15_M2,3
16_M2,3
17_M2,3
18_M2,3
19_M2,3
20_M2,3
21_M2,3
22_M2,3
23_M2,3
24_M2,3
25_M2,3
26_M2,3
27_M2,3
28_M2,3
29_M2,3
30_M2,3
31_M2,3
32_M2,3
33_M2,3
34_M2,3
35_M2,3
36_M2,3
37_M2,3
38_M2,3
39_M2,3
40_M2,3
41_M2,3
42_M2,3
43_M2,3
44_M2,3
45_M2,3
46_M2,3
47_M2,3
48_M2,3
49_M2,3
50_M2,3
51_M2,3
52_M2,3
53_M2,3
54_M2,3
55_M2,3
56_M2,3
57_M2,3
58_M2,3
59_M2,3
60_M2,3
61_M2,3
62_M2,3
63_M2,3
64_M2,3
65_M2,3
66_M2,3
67_M2,3
68_M2,3
69_M2,3
70_M2,3
71_M2,3
72_M2,3
73_M2,3
74_M2,3
75_M2,3
76_M2,3
77_M2,3
78_M2,3
79_M2,3
80_M2,3
81_M2,3
82_M2,3
83_M2,3
84_M2,3
85_M2,3
86_M2,3
87_M2,3
88_M2,3
89_M2,3
90_M2,3
91_M2,3
92_M2,3
93_M2,3
94_M2,3
95_M2,3
96_M2,3
97_M2,3
98_M2,3
99_M2,3
100_M2,3
101_M2,3
102_M2,3
103_M2,3
104_M2,3
105_M2,3
106_M2,3
107_M2,3
108_M2,3
109_M2,3
110_M2,3
111_M2,3
112_M2,3
113_M2,3
114_M2,3
115_M2,3
116_M2,3
117_M2,3
118_M2,3
119_M2,3
120_M2,3
121_M2,3
122_M2,3
123_M2,3
124_M2,3
125_M2,3
126_M2,3
127_M2,3
128_M2,3
129_M2,3
130_M2,3
131_M2,3
132_M2,3
133_M2,3
134_M2,3
135_M2,3
136_M2,3
137_M2,3
138_M2,3
139_M2,3
140_M2,3
141_M2,3
142_M2,3
143_M2,3
144_M2,3
145_M2,3
146_M2,3
147_M2,3
148_M2,3
149_M2,3
150_M2,3
151_M2,3
152_M2,3
153_M2,3
154_M2,3
155_M2,3
156_M2,3
157_M2,3
158_M2,3
159_M2,3
160_M2,3
161_M2,3
162_M2,3
163_M2,3
164_M2,3
165_M2,3
166_M2,3
167_M2,3
168_M2,3
169_M2,3
170_M2,3
171_M2,3
172_M2,3
173_M2,3
174_M2,3
175_M2,3
176_M2,3
177_M2,3
178_M2,3
179_M2,3
180_M2,3
181_M2,3
182_M2,3
183_M2,3
184_M2,3
185_M2,3
186_M2,3
187_M2,3
188_M2,3
189_M2,3
190_M2,3
191_M2,3
192_M2,3
193_M2,3
194_M2,3
195_M2,3
196_M2,3
197_M2,3
198_M2,3
199_M2,3
200_M2,3
201_M2,3
202_M2,3
203_M2,3
204_M2,3
205_M2,3
206_M2,3
207_M2,3
208_M2,3
209_M2,3
210_M2,3
211_M2,3
212_M2,3
213_M2,3
